key,name,city,state,country,lat,long,vip
LRG,Lincoln Regional,Lincoln,ME,USA,45.36,-68.53,False
LRJ,Le Mars Municipal,Le Mars,IA,USA,42.78,-96.19,False
LRU,Las Cruces International,Las Cruces,NM,USA,32.29,-106.92,False
LSB,Lordsburg Municipal,Lordsburg,NM,USA,32.33,-108.69,False
LSE,La Crosse Municipal,La Crosse,WI,USA,43.88,-91.26,False
LSK,Lusk Muni,Lusk,WY,USA,42.75,-104.40,False
LSN,Los Banos Municipal,Los Banos,CA,USA,37.06,-120.87,False
LUG,Ellington,Lewisburg,TN,USA,35.51,-86.80,False
LUK,Cincinnati Muni-Lunken,Cincinnati,OH,USA,39.10,-84.42,False
LUL,Hesler-Noble,Laurel,MS,USA,31.67,-89.17,False
LUP,Kalaupapa,Kalaupapa,HI,USA,21.21,-156.97,False
LVJ,Clover,Houston,TX,USA,29.52,-95.24,False
LVK,Livermore Municipal,Livermore,CA,USA,37.69,-121.82,False
LVM,Mission,Livingston,MT,USA,45.70,-110.45,False
LVN,Airlake,Minneapolis,MN,USA,44.63,-93.23,False
LVS,Las Vegas Municipal,Las Vegas,NM,USA,35.65,-105.14,False
LWB,Greenbrier Valley,Lewisburg,WV,USA,37.86,-80.40,False
LWC,Lawrence Municipal,Lawrence,KS,USA,39.01,-95.22,False
LWD,Lamoni Municipal,Lamoni,IA,USA,40.63,-93.90,False
LWL,Wells Municipal/Harriet,Wells,NV,USA,41.12,-114.92,False
LWM,Lawrence Municipal,Lawrence,MA,USA,42.72,-71.12,False
LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37,-117.02,False
LWT,Lewistown Muni,Lewistown,MT,USA,47.05,-109.47,False
LWV,Lawrenceville-Vincennes Municipal,Lawrenceville,IL,USA,38.76,-87.61,False
LXL,Little Falls - Morrison County,Little Falls,MN,USA,45.95,-94.35,False
LXN,Lexington (Jim Kelly ),Lexington,NE,USA,40.79,-99.78,False
LXT,Lee's Summit Municipal,Lee's Summit,MO,USA,38.96,-94.37,False
LXV,Lake County,Leadville,CO,USA,39.22,-106.32,False
LXY,Mexia-Limestone County,Mexia,TX,USA,31.64,-96.51,False
LYH,Lynchburg Municipal-Preston Glenn,Lynchburg,VA,USA,37.33,-79.20,False
